image-no,final-label
30,0
31,0
45,0
58,0
71,0
98,0
105,0
106,0
107,1
108,0
114,0
119,0
120,0
151,0
154,0
177,0
181,0
195,1
210,1
227,0
242,0
272,0
287,1
305,0
313,0
324,1
338,0
349,1
359,0
366,0
377,1
381,0
404,0
409,0
432,0
437,1
443,0
452,1
461,0
478,0
486,0
494,1
497,1
516,1
521,1
522,0
524,0
527,0
538,0
544,0
558,0
575,0
577,1
582,0
605,0
608,1
613,0
629,0
636,0
637,0
639,1
644,1
653,0
673,0
680,1
684,1
690,0
699,1
707,0
709,0
713,0
715,0
722,0
723,0
744,0
748,0
755,0
762,0
778,0
782,0
787,0
796,1
797,0
827,0
831,0
842,0
843,0
858,1
861,0
863,0
866,1
878,0
882,0
898,1
908,1
912,0
928,0
929,1
940,0
945,0
951,0
953,0
954,0
964,1
966,0
972,0
976,0
992,0
996,0
998,0
999,1
1015,0
1020,0
1026,0
1048,0
1054,0
1055,0
1075,0
1077,0
1078,0
1101,1
1102,0
1108,0
1111,0
1128,0
1129,0
1131,0
1132,1
1133,0
1145,0
1146,1
1148,0
1154,1
1167,0
1169,1
1176,0
1180,0
1182,0
1196,0
1199,1
1203,0
1218,0
1220,0
1226,1
1236,1
1239,1
1242,1
1252,0
1254,1
1268,0
1275,0
1279,0
1282,0
1284,0
1293,0
1296,0
1307,0
1308,0
1318,0
1319,0
1324,0
1330,0
1332,0
1339,0
1341,1
1345,0
1348,0
1349,0
1357,0
1359,0
1369,0
1378,0
1381,0
1390,1
1392,0
1401,0
1411,0
1427,0
1438,0
1488,0
1497,0
1507,1
1520,0
1526,0
1537,0
1552,0
1556,1
1563,0
1565,0
1567,0
1573,0
1594,1
1613,0
1615,0
1620,0
1639,0
1646,0
1663,0
1681,0
1707,0
1708,0
1715,0
1721,0
1730,1
1737,0
1757,0
1763,0
1782,0
1784,0
1791,0
1793,0
1803,0
1804,0
1810,0
1852,0
1856,0
1859,0
1863,0
1871,1
1876,0
1883,0
1884,1
1887,0
1902,0
1903,0
1907,0
1922,0
1945,0
1956,0
1961,0
1962,0
1987,0
1993,0
2016,0
2027,0
2036,0
2042,0
2051,0
2091,0
2094,0
2113,0
2114,0
2115,0
2129,0
2136,0
2137,0
2142,0
2145,0
2149,1
2151,0
2153,1
2161,0
2165,0
2176,1
2177,0
2182,0
2192,1
2200,1
2218,0
2220,0
2234,0
2248,0
2256,0
2258,1
2260,1
2262,0
2267,0
2275,0
2295,0
2298,0
2300,1
2315,0
2327,0
2348,0
2372,0
2386,0
2393,0
2396,0
2441,0
2444,0
2450,0
2453,0
2473,0
2493,1
2498,0
2499,0
2505,0
2522,1
2529,0
2530,0
2540,0
2541,0
2559,0
2572,0
2573,0
2588,0
2591,0
2603,0
2604,0
2609,1
2614,1
2618,1
2619,0
2621,0
2629,0
2637,0
2646,1
2663,0
2675,0
2676,0
2678,0
2691,0
2696,0
2703,0
2705,0
2712,1
2718,0
2725,0
2726,0
2731,1
2736,0
2740,0
2753,0
2761,0
2771,0
2786,0
2792,0
2802,0
2809,0
2819,1
2820,0
2837,1
2853,0
2864,1
2870,0
2875,0
2883,0
2889,1
2893,1
2896,0
2900,0
2901,0
2906,0
2910,1
2914,0
2916,0
2917,0
2928,0
2937,0
2943,0
2947,0
2971,0
2973,0
2977,0
2988,0
2991,0
2992,0
3003,0
3005,0
3017,0
3030,0
3050,0
3051,0
3055,0
3057,0
3059,0
3071,0
3072,0
3091,0
3094,0
3102,1
3108,0
3109,1
3111,0
3112,1
3124,0
3127,0
3165,0
3173,0
3178,0
3179,0
3186,0
3190,0
3209,0
3211,0
3213,0
3214,0
3218,0
3239,0
3255,0
3261,0
3290,0
3302,0
3305,0
3317,0
3331,0
3334,0
3335,0
3344,1
3354,1
3360,1
3361,0
3363,0
3379,0
3384,0
3394,0
3398,0
3439,1
3449,0
3452,0
3461,0
3471,0
3472,0
3481,0
3483,0
3495,0
3500,0
3504,1
3510,1
3518,0
3523,0
3524,0
3527,0
3530,0
3535,0
3542,0
3551,0
3552,0
3566,0
3572,1
3587,0
3588,0
3603,0
3608,0
3609,0
3611,0
3613,0
3614,0
3628,1
3630,0
3649,0
3658,1
3662,0
3683,0
3684,0
3697,0
3704,0
3708,0
3717,0
3723,1
3740,0
3753,1
3757,1
3762,1
3768,0
3802,1
3820,0
3831,1
3834,0
3845,0
3849,0
3864,0
3871,0
3875,0
3878,0
3888,0
3892,0
3908,0
3910,1
3921,0
3927,0
3929,0
3933,1
3945,0
3984,0
3986,0
4000,1
4017,0
4021,0
4023,0
4052,0
4053,0
4056,1
4079,1
4080,0
4094,0
4105,0
4108,0
4120,1
4122,0
4124,0
4142,0
4152,0
4155,1
4158,0
4170,0
4179,0
4210,0
4211,0
4214,0
4216,0
4218,0
4228,0
4231,1
4246,0
4260,0
4272,1
4275,0
4278,0
4286,0
4293,1
4296,0
4298,0
4338,0
4348,0
4349,0
4352,0
4357,0
4362,0
4375,0
4401,0
4403,0
4411,0
4436,0
4450,0
4461,0
4474,0
4485,0
4493,1
